Model,Test Accuracy,CV Mean Accuracy,CV Std
Support Vector Machine,0.7233809523809523,0.7255918367346939,0.003589980967721794
Random Forest,0.7116666666666667,0.7164285714285714,0.004200811091631236
Logistic Regression,0.7115714285714285,0.7153877551020409,0.006416866571239111
K-Nearest Neighbors,0.6430476190476191,0.6433673469387755,0.005465807539754854
Decision Tree,0.6281428571428571,0.6339795918367348,0.003957289679523548
